PassengerId,Survived
384,0
882,0
276,0
648,0
224,0
855,0
81,0
389,0
796,0
250,0
751,0
837,0
495,0
147,0
198,0
80,0
763,0
145,0
244,0
154,0
529,0
876,0
13,0
362,0
605,0
218,0
279,0
666,0
242,0
610,0
96,0
282,0
280,0
584,0
50,0
225,0
169,0
99,0
395,0
191,0
519,0
730,0
331,0
789,0
317,0
695,0
556,0
587,0
465,0
473,0
102,0
664,0
467,0
62,0
58,0
494,0
327,0
382,0
811,0
685,0
116,0
516,0
143,0
226,0
625,0
887,0
416,0
293,0
508,0
781,0
295,0
64,0
836,0
55,0
580,0
758,0
358,0
725,0
622,0
231,0
881,0
237,0
361,0
740,0
545,0
431,0
266,0
232,0
658,0
617,0
134,0
196,0
741,0
736,0
206,0
852,0
370,0
54,0
769,0
30,0
311,0
525,0
550,0
100,0
119,0
765,0
692,0
313,0
651,0
341,0
401,0
43,0
671,0
594,0
684,0
219,0
469,0
835,0
365,0
478,0
704,0
577,0
355,0
84,0
572,0
267,0
867,0
186,0
23,0
621,0
73,0
162,0
485,0
675,0
708,0
257,0
398,0
737,0
320,0
866,0
686,0
458,0
26,0
42,0
148,0
672,0
482,0
650,0
334,0
425,0
687,0
542,0
530,0
178,0
639,0
41,0
417,0
745,0
604,0
515,0
239,0
707,0
534,0
761,0
387,0
255,0
802,0
842,0
814,0
433,0
823,0
676,0
875,0
9,0
858,0
220,0
344,0
809,0
89,0
468,0
363,0
678,0
638,0
833,0
129,0
4,0
179,0
445,0
636,0
840,0
52,0
848,0
127,0
67,0
270,0
349,0
871,0
849,0
457,0
252,0
659,0
82,0
440,0
541,0
728,0
459,0
446,0
286,0
385,0
49,0
424,0
333,0
663,0
290,0
335,0
298,0
641,0
820,0
163,0
599,0
863,0
812,0
616,0
21,0
776,0
166,0
489,0
783,0
496,0
77,0
480,0
759,0
585,0
493,0
844,0
94,0
472,0
857,0
824,0
391,0
619,0
46,0
374,0
777,0
574,0
549,0
774,0
850,0
750,0
742,0
647,0
12,0
874,0
653,0
175,0
830,0
140,0
150,0
540,0
665,0
322,0
483,0
403,0
199,0
75,0
460,0
770,0
251,0
562,0
380,0
807,0
703,0
187,0
581,0
258,0
602,0
869,0
34,0
681,0
706,0
61,0
861,0
536,0
762,0
95,0
510,0
19,0
818,0
83,0
324,0
360,0
103,0
194,0
412,0
816,0
299,0
720,0
421,0
443,0
307,0
429,0
753,0
831,0
474,0
528,0
352,0
603,0
450,0
680,0
862,0
640,0
168,0
606,0
167,0
476,0
254,0
785,0
51,0
434,0
682,0
192,0
702,0
448,0
185,0
217,0
59,0
241,0
8,0
479,0
87,0
865,0
390,0
325,0
53,0
78,0
427,0
618,0
670,0
747,0
573,0
337,0
690,0
601,0
304,0
724,0
402,0
558,0
801,0
677,0
353,0
566,0
346,0
115,0
539,0
656,0
11,0
308,0
